user_id,user_gender,country,age,traveller_type,join_date
1,Female,United Kingdom,35-44,Solo,29-09-2024
2,Male,United Kingdom,25-34,Solo,29-11-2023
3,Female,Mexico,25-34,Family,03-04-2022
4,Male,India,35-44,Family,02-12-2023
5,Other,Japan,25-34,Solo,18-12-2021
6,Male,Brazil,25-34,Couple,27-06-2025
7,Male,United Kingdom,25-34,Business,13-07-2022
8,Female,Spain,45-54,Couple,05-09-2024
9,Female,India,35-44,Solo,01-03-2025
10,Male,United Kingdom,45-54,Solo,14-11-2024
11,Other,China,25-34,Couple,25-02-2022
12,Female,India,25-34,Solo,13-12-2024
13,Male,Italy,25-34,Couple,31-07-2022
14,Male,United States,18-24,Family,29-06-2021
15,Female,Nigeria,35-44,Couple,18-10-2021
16,Male,New Zealand,25-34,Business,16-07-2023
17,Female,United States,25-34,Family,28-01-2025
18,Male,India,18-24,Couple,16-04-2023
19,Male,Australia,35-44,Couple,26-11-2021
20,Female,Spain,55+,Solo,01-01-2022
21,Male,Australia,25-34,Couple,16-09-2020
22,Male,Germany,35-44,Solo,14-08-2022
23,Female,United Kingdom,35-44,Solo,27-12-2024
24,Male,France,25-34,Solo,18-04-2024
25,Male,Japan,25-34,Business,14-11-2024
26,Male,China,35-44,Family,25-01-2022
27,Female,United States,45-54,Couple,06-03-2025
28,Male,China,25-34,Family,23-09-2023
29,Female,Brazil,45-54,Solo,08-05-2025
30,Female,India,18-24,Family,11-10-2021
31,Male,Japan,25-34,Solo,17-10-2023
32,Male,China,35-44,Family,09-07-2025
33,Female,India,35-44,Family,05-03-2022
34,Female,United Kingdom,35-44,Solo,26-04-2024
35,Male,Australia,55+,Business,10-02-2021
36,Male,Russia,18-24,Couple,26-03-2024
37,Male,Australia,18-24,Couple,19-08-2020
38,Male,United States,35-44,Couple,07-04-2023
39,Female,Egypt,25-34,Family,17-08-2020
40,Female,Russia,35-44,Solo,02-04-2024
41,Male,Spain,18-24,Solo,17-02-2022
42,Male,United Kingdom,35-44,Business,09-11-2023
43,Other,Argentina,35-44,Family,08-08-2023
44,Male,Germany,35-44,Couple,18-08-2021
45,Male,United States,35-44,Family,01-05-2023
46,Female,Germany,35-44,Family,18-08-2022
47,Male,Germany,35-44,Family,30-01-2022
48,Female,New Zealand,45-54,Solo,18-04-2025
49,Female,United States,45-54,Solo,10-04-2024
50,Female,India,25-34,Family,09-03-2021
51,Female,United Kingdom,45-54,Couple,21-10-2023
52,Male,Japan,25-34,Business,23-05-2025
53,Male,South Africa,45-54,Family,11-01-2023
54,Male,United States,25-34,Couple,20-05-2021
55,Female,United Kingdom,55+,Business,13-06-2021
56,Female,Spain,55+,Family,01-03-2024
57,Male,Russia,35-44,Solo,23-11-2022
58,Male,China,35-44,Business,21-09-2021
59,Female,United States,25-34,Couple,07-03-2025
60,Male,United States,45-54,Solo,14-06-2025
61,Female,Japan,55+,Solo,11-05-2024
62,Female,Australia,25-34,Solo,30-06-2023
63,Female,France,25-34,Couple,30-06-2023
64,Female,United States,45-54,Business,03-12-2021
65,Male,United States,25-34,Solo,13-10-2021
66,Other,United States,25-34,Couple,07-04-2025
67,Male,United States,35-44,Couple,11-05-2021
68,Other,Mexico,25-34,Solo,13-12-2024
69,Male,Germany,35-44,Business,14-12-2022
70,Male,Germany,55+,Family,07-01-2024
71,Male,New Zealand,25-34,Couple,28-05-2025
72,Female,China,35-44,Solo,25-07-2022
73,Female,United Kingdom,18-24,Solo,06-03-2025
74,Male,France,35-44,Business,20-06-2022
75,Female,Italy,45-54,Business,19-09-2023
76,Female,Australia,25-34,Family,22-04-2023
77,Female,Italy,35-44,Family,16-05-2022
78,Female,Japan,45-54,Business,13-08-2022
79,Male,United States,35-44,Couple,16-12-2020
80,Male,Australia,25-34,Couple,28-01-2022
81,Other,Australia,35-44,Couple,25-06-2023
82,Female,Thailand,25-34,Couple,12-01-2021
83,Male,United States,25-34,Solo,03-07-2024
84,Female,United Arab Emirates,35-44,Family,16-01-2022
85,Male,Japan,35-44,Family,28-04-2023
86,Male,South Korea,45-54,Business,27-07-2023
87,Female,Germany,18-24,Solo,07-03-2022
88,Male,France,45-54,Family,23-08-2024
89,Female,Argentina,25-34,Couple,24-05-2025
90,Male,United Kingdom,45-54,Family,28-10-2024
91,Female,United Kingdom,25-34,Family,15-08-2024
92,Female,United States,25-34,Solo,09-10-2023
93,Male,Turkey,35-44,Couple,26-08-2021
94,Female,United Kingdom,45-54,Couple,10-09-2024
95,Male,United States,18-24,Couple,28-12-2023
96,Male,China,25-34,Business,10-07-2024
97,Male,New Zealand,35-44,Family,30-01-2023
98,Female,Germany,25-34,Solo,01-02-2025
99,Female,United States,25-34,Solo,27-08-2020
100,Male,China,35-44,Couple,13-05-2023
101,Male,China,25-34,Solo,26-01-2023
102,Female,India,25-34,Couple,19-03-2024
103,Other,Italy,35-44,Solo,17-08-2020
104,Male,China,25-34,Family,18-08-2023
105,Male,United Arab Emirates,18-24,Solo,06-06-2022
106,Other,Brazil,45-54,Couple,28-11-2023
107,Female,Netherlands,35-44,Business,03-09-2020
108,Male,Argentina,25-34,Couple,03-03-2023
109,Female,United Kingdom,45-54,Couple,18-02-2024
110,Male,Canada,25-34,Business,20-04-2025
111,Male,United States,25-34,Couple,27-11-2022
112,Other,France,35-44,Business,03-08-2021
113,Male,United States,35-44,Couple,02-05-2024
114,Female,China,25-34,Family,23-01-2024
115,Female,United States,45-54,Family,17-03-2021
116,Female,Japan,35-44,Solo,27-03-2023
117,Male,China,55+,Solo,11-08-2023
118,Other,Netherlands,25-34,Couple,29-05-2024
119,Female,United Arab Emirates,35-44,Solo,20-08-2020
120,Female,New Zealand,35-44,Couple,26-06-2021
121,Male,Canada,25-34,Solo,26-08-2023
122,Female,Germany,25-34,Family,15-03-2023
123,Female,France,25-34,Couple,24-04-2022
124,Female,France,35-44,Family,24-05-2024
125,Female,United Kingdom,35-44,Family,31-12-2021
126,Female,Brazil,25-34,Couple,12-05-2024
127,Female,Canada,25-34,Business,10-05-2025
128,Male,China,55+,Family,04-05-2023
129,Male,Canada,35-44,Couple,23-08-2021
130,Female,United States,25-34,Couple,01-07-2024
131,Male,Japan,25-34,Family,22-11-2020
132,Female,Australia,35-44,Family,18-10-2020
133,Male,Brazil,55+,Business,04-11-2024
134,Female,China,35-44,Couple,06-11-2022
135,Male,France,25-34,Family,12-05-2021
136,Female,United Kingdom,25-34,Couple,22-12-2023
137,Male,South Africa,25-34,Family,19-01-2025
138,Female,Spain,25-34,Family,03-02-2022
139,Other,Australia,55+,Business,11-12-2023
140,Male,Turkey,18-24,Business,03-03-2023
141,Male,United Kingdom,35-44,Couple,18-01-2024
142,Male,Spain,35-44,Business,24-11-2021
143,Female,Brazil,35-44,Family,07-10-2020
144,Male,Germany,25-34,Family,11-07-2025
145,Female,Germany,35-44,Family,16-12-2022
146,Male,France,45-54,Couple,11-02-2024
147,Male,United States,35-44,Couple,26-10-2022
148,Other,Netherlands,45-54,Family,23-12-2020
149,Other,France,45-54,Business,27-05-2024
150,Female,Germany,35-44,Solo,16-07-2024
151,Female,Argentina,55+,Couple,26-03-2022
152,Female,Spain,35-44,Family,06-06-2024
153,Female,United States,35-44,Business,25-06-2023
154,Female,United Kingdom,35-44,Family,08-06-2021
155,Male,United States,35-44,Couple,28-03-2021
156,Male,Russia,25-34,Couple,03-04-2024
157,Male,Canada,18-24,Family,05-03-2021
158,Male,United Kingdom,35-44,Business,29-01-2023
159,Female,United States,25-34,Business,05-06-2025
160,Male,China,25-34,Couple,02-09-2024
161,Female,United States,25-34,Family,07-05-2022
162,Male,Germany,35-44,Solo,21-05-2025
163,Other,United Kingdom,55+,Couple,21-01-2021
164,Male,South Korea,55+,Couple,18-04-2023
165,Female,Italy,25-34,Solo,08-11-2022
166,Female,China,35-44,Solo,03-10-2021
167,Female,United States,35-44,Couple,17-03-2022
168,Female,United Kingdom,55+,Couple,02-03-2025
169,Male,Turkey,18-24,Family,02-05-2025
170,Other,United Kingdom,35-44,Solo,14-09-2021
171,Female,Italy,35-44,Family,23-01-2021
172,Male,United Arab Emirates,45-54,Couple,04-11-2024
173,Other,France,45-54,Solo,30-01-2021
174,Male,Germany,35-44,Solo,10-01-2025
175,Female,Russia,55+,Couple,21-10-2023
176,Male,Germany,25-34,Couple,02-02-2025
177,Female,India,55+,Family,19-02-2024
178,Male,France,25-34,Family,08-07-2025
179,Male,France,45-54,Couple,06-07-2025
180,Female,Germany,25-34,Solo,11-06-2025
181,Male,Germany,25-34,Business,26-09-2023
182,Female,United States,35-44,Business,15-03-2023
183,Female,Japan,25-34,Couple,17-08-2020
184,Male,Nigeria,25-34,Couple,21-09-2022
185,Female,United States,35-44,Family,16-09-2024
186,Female,Spain,55+,Couple,28-10-2021
187,Male,Germany,25-34,Family,17-02-2024
188,Female,Thailand,25-34,Solo,28-07-2023
189,Female,New Zealand,45-54,Family,17-05-2024
190,Female,Nigeria,25-34,Family,10-06-2023
191,Female,United Kingdom,35-44,Family,14-02-2025
192,Male,China,45-54,Couple,15-05-2024
193,Female,France,25-34,Family,31-03-2022
194,Male,Japan,55+,Solo,21-07-2023
